Ticker,Market Cap,Current Price,Min Price,Max Price,Category,Features,Information,Total Gain (1YR),Comments
vSlice,29M,0.87,0.05,1.15,,,,22,
Wings,27M,0.3,0.02,0.96,,,,47,
Humaniq,26M,0.16,0.043,0.21,,,,3.88372093,
Xaurum,27M,0.21,0.1,0.27,,,,1.7,
Melon,26M,44.14,18,114,,,,5.333333333,
Storj,25M,0.36,0.29,0.89,,,,2.068965517,
Gulden,26M,0.074,0.002,0.13,,,,64,
MonaCoin,25M,0.47,0.025,0.88,,,,34.2,
Namecoin,24M,1.66,0.23,3.49,,,,14.17391304,
LBRY Credits,24M,0.36,0.01,0.9,,,,89,
Counterparty,22M,8.5,1.75,20,,,,10.42857143,
Peerplays,30M,9.27,4.8,20,,,,3.166666667,
CloakCoin,17M,3.4,0.038,10.22,,,,267.9473684,
PotCoin,18M,0.085,0.001,0.16,,,,159,
BitBay,22M,0.022,0.0005,0.042,,,,83,
SIBCoin,19M,1.28,0.01,1.73,,,,172,
E-Dinar Coin,31M,0.035,0.02,0.99,,,,48.5,
Viacoin,19M,0.87,0.01,1.78,,,,177,
Quantum Resistance,16M,0.2,0.18,0.25,,,,0.3888888889,
Omni,17M,30,2.89,74,,,,24.60553633,
Quantum,16M,0.2,0.2,0.33,,,,0.65,
ION,20M,1.28,0.009,2.25,,,,249,
Skycoin,17M,3,0.95,4.5,,,,3.736842105,
GAS,20M,"7,92",7,27,,,,2.857142857,This is the currency token for NEO. Might be worth more than ANS/NEO
District0x,103M,0.17,0.015,0.17,,,,10.33333333,"Decentralized market places, creating eBay with blockchain. Powered by Ethereum, Aragon, and IPFS"
Monaco,133M,13.5,0.9,13.49,,,,13.98888889,Visa card that can be funded with Ether and BTC
ADX,66M,1.19,0.12,2.22,,,,17.5,AdEx is a blockchain-based ad exchange
OMG,768M,7.49,0.32,9.3,,,,28.0625,Ethereum based financial tech company for peer based transactions
Lunyr,27M,11.83,1.62,22,,,,12.58024691,Ethereum based world knowledge exchange
GEO,6M,1.96,0.05,2.07,,,,40.4,Trackable coins for geocaching
Triggers,8M,0.2322,0.003,0.28,,,,92.33333333,Blocksafe smartgun technology company
Cofound.it,79M,0.24,0.078,0.25,,,,2.205128205,"Crowdsale advisor, distributor network"
